ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
14;complexWire;1;5;6,792777;6;40,49993;0,2923383;-0,03718212;0,2068654;0,2031893;0,2805191
14;complexWire;1;5;6,807067;6;40,49993;0,2656885;-0,06109104;-0,1764029;0,189051;0,2793536
14;complexWire;1;5;6,820369;6;40,49993;0,3026326;0,006962731;0,1639143;0,2543032;0,280775
14;complexWire;1;5;6,834628;6;40,49993;0,3026326;0,006962731;0,1639143;0,2543032;0,2775066
14;complexWire;1;5;6,847955;6;40,49993;1,398989;0,1235996;1,381026;-0,1861691;0,2660982
14;complexWire;1;5;6,861915;6;40,49993;0,5871258;0,07531224;0,4874155;0,3185451;0,2497855
14;complexWire;1;5;6,876;6;40,49993;0,5871258;0,07531224;0,4874155;0,3185451;0,2419236
14;complexWire;1;5;6,889947;6;40,49993;0,5552844;-0,004056375;0,2580523;0,4916638;0,2357771
14;complexWire;1;5;6,903642;6;40,49993;0,3076952;-0,003054086;0,3070511;0,01966357;0,2307555
14;complexWire;1;5;6,917762;6;40,49993;0,3076952;-0,003054086;0,3070511;0,01966357;0,2263871
14;complexWire;1;5;6,931572;6;40,49993;0,6398996;-0,04143463;0,622502;-0,1422882;0,2193314
14;complexWire;1;5;6,945431;6;40,49993;0,2743762;-0,0572728;-0,09402335;0,25132;0,2148453
14;complexWire;1;5;6,959513;6;40,49993;0,2743762;-0,0572728;-0,09402335;0,25132;0,215177
14;complexWire;1;5;6,97347;6;40,49993;0,2115118;-0,1070173;0,1762465;0,04713535;0,2125472
14;complexWire;1;5;6,987442;6;40,49993;0,3866954;0,002536387;0,3796965;0,0731945;0,2083518
14;complexWire;1;5;7,001166;6;40,49993;0,6445135;0,06751863;0,5423337;0,341633;0,2027151
14;complexWire;1;5;7,01519;6;40,49993;0,6445135;0,06751863;0,5423337;0,341633;0,1941222
14;complexWire;1;5;7,029216;6;40,49993;0,5224509;-0,09344537;0,4799531;-0,1840324;0,1873401
14;complexWire;1;5;7,043127;6;40,49993;0,2792557;-0,01880397;0,2533035;0,1160496;0,1820289
14;complexWire;1;5;7,057154;6;40,49993;0,2792557;-0,01880397;0,2533035;0,1160496;0,1781006
14;complexWire;1;5;7,070955;6;40,49993;0,6223763;-0,1247247;0,4444246;-0,4174718;0,174137
14;complexWire;1;5;7,084958;6;40,49993;0,1356892;-0,09553975;0,003755939;-0,09627879;0,1718013
14;complexWire;1;5;7,098982;6;40,49993;0,1356892;-0,09553975;0,003755939;-0,09627879;0,1721531
14;complexWire;1;5;7,112727;6;40,49993;0,5785726;-0,04044398;0,5692606;0,09514707;0,1650211
14;complexWire;1;5;7,126825;6;40,49993;0,2832955;-0,02655442;0,136753;0,2466775;0,1594032
14;complexWire;1;5;7,14041;6;40,49993;0,2743829;-0,04477037;-0,0666256;0,2623787;0,156448
14;complexWire;1;5;7,154355;6;40,49993;0,2743829;-0,04477037;-0,0666256;0,2623787;0,1558972
14;complexWire;1;5;7,168732;6;40,49993;1,015148;0,04889454;0,961018;0,3233859;0,147182
14;complexWire;1;5;7,182409;6;40,49993;0,6703174;0,03705223;0,6454611;0,1770098;0,1342527
14;complexWire;1;5;7,196253;6;40,49993;0,6703174;0,03705223;0,6454611;0,1770098;0,1247013
14;complexWire;1;5;7,210434;6;40,49993;0,5296732;-0,05923827;0,5038491;-0,1522516;0,1181867
14;complexWire;1;5;7,223979;6;40,49993;0,5978748;-0,04556863;0,5288745;-0,2750809;0,1122128
14;complexWire;1;5;7,238006;6;40,49993;0,5978748;-0,04556863;0,5288745;-0,2750809;0,1072097
14;complexWire;1;5;7,25212;6;40,49993;0,3927107;-0,06005393;0,3874417;-0,02245193;0,1028667
14;complexWire;1;5;7,265962;6;40,49993;0,2332361;-0,04160547;0,1679054;0,1564475;0,09893861
14;complexWire;1;5;7,27986;6;40,49993;0,2332361;-0,04160547;0,1679054;0,1564475;0,09583113
14;complexWire;1;5;7,293757;6;40,49993;0,5388523;-0,0149745;0,4833379;0,2377437;0,09702431
14;complexWire;1;5;7,307722;6;40,49993;0,4393405;-0,0158987;0,4315959;0,08057464;0,09031791
14;complexWire;1;5;7,32186;6;40,49993;0,4932711;0,008403493;0,4872297;0,07650428;0,08422896
14;complexWire;1;5;7,335511;6;40,49993;0,4932711;0,008403493;0,4872297;0,07650428;0,07803622
14;complexWire;1;5;7,349857;6;40,49993;0,668072;0,02277054;0,5744852;0,3402478;0,07874203
14;complexWire;1;5;7,364626;6;40,49993;0,1704208;-0,02453337;0,1132617;0,1249527;0,07168687
14;complexWire;1;5;7,378957;6;40,49993;0,1704208;-0,02453337;0,1132617;0,1249527;0,07501933
14;complexWire;1;5;7,405087;6;40,49993;0,1569642;-0,007898497;0,1527573;0,03522205;0,06859775
14;complexWire;1;5;7,419583;6;40,49993;0,1569642;-0,007898497;0,1527573;0,03522205;0,0667285
14;complexWire;1;5;7,434772;6;40,49993;0,2084281;-0,03642609;0,05953888;0,1963938;0,06460387
14;complexWire;1;5;7,46069;6;40,49993;0,08419332;-0,00810446;0,00392295;0,08371047;0,06154916
14;complexWire;1;5;7,476393;6;40,49993;0,08419332;-0,00810446;0,00392295;0,08371047;0,06888391
14;complexWire;1;5;7,502144;6;40,49993;0,03217682;-0,03209014;-0,001902631;-0,001396661;0,0690956
14;complexWire;1;5;7,516924;6;40,49993;0,03217682;-0,03209014;-0,001902631;-0,001396661;0,06931688
14;complexWire;1;5;7,530638;6;40,49993;0,6165965;0,02553004;0,3368872;0,515797;0,06418087
14;complexWire;1;5;7,545031;6;40,49993;0,3552372;0,01786788;0,1873783;0,3012699;0,05858188
14;complexWire;1;5;7,560431;6;40,49993;0,09647403;-0,008410559;0,05133963;0,08124496;0,05496902
14;complexWire;1;5;7,585378;6;40,49993;0,114378;-0,01078043;0,09703614;0,05958277;0,0458083
