ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
17;easyWire;1;1;11,45159;25;32,89787;0,1598895;0,02174892;0,1248763;0,09745535;0,1153114
17;easyWire;1;1;11,47821;25;32,89787;0,3094027;0,02946537;0,263156;0,1600336;0,1160696
17;easyWire;1;1;11,49383;25;32,89787;0,219573;0,02717174;0,1822397;0,1194264;0,1136279
17;easyWire;1;1;11,51982;25;32,89787;0,2416753;-0,02351472;0,2386686;0,02985527;0,1103906
17;easyWire;1;1;11,53474;25;32,89787;0,113953;-0,004431879;0,1104398;0,02772553;0,1094856
17;easyWire;1;1;11,56159;25;32,89787;0,0167235;-0,002076777;0,01658505;0,0005465025;0,107848
17;easyWire;1;1;11,5769;25;32,89787;0,0167235;-0,002076777;0,01658505;0,0005465025;0,1028779
17;easyWire;1;1;11,60358;25;32,89787;0,004224872;-0,001372684;0,003922821;-0,0007594456;0,1025346
17;easyWire;1;1;11,61859;25;32,89787;0,004224872;-0,001372684;0,003922821;-0,0007594456;0,1073696
17;easyWire;1;1;11,63359;25;32,89787;0,0475266;-0,002732778;-0,04518304;0,01448454;0,1073525
17;easyWire;1;1;11,65916;25;32,89787;0,07041243;-0,02823342;-0,05802192;-0,02818229;0,1078143
17;easyWire;1;1;11,6742;25;32,89787;0,0503249;-0,02805971;-0,03275699;-0,02592736;0,1080621
17;easyWire;1;1;11,701;25;32,89787;0,004125627;-0,002275058;-0,003207157;-0,001248618;0,1083888
17;easyWire;1;1;11,71592;25;32,89787;0,004125627;-0,002275058;-0,003207157;-0,001248618;0,1084016
17;easyWire;1;1;11,74296;25;32,89787;0,01675244;-0,008988788;-0,01230703;-0,006955774;0,1106247
17;easyWire;1;1;11,75812;25;32,89787;0,01675244;-0,008988788;-0,01230703;-0,006955774;0,1107109
17;easyWire;1;1;11,7731;25;32,89787;0,1244085;-0,06240406;-0,1059162;-0,01910382;0,1110108
17;easyWire;1;1;11,79828;25;32,89787;0,1214611;-0,06963486;-0,08706597;-0,04820063;0,1119028
17;easyWire;1;1;11,81309;25;32,89787;0,08322284;-0,05979519;-0,02445651;-0,05246386;0,1123259
17;easyWire;1;1;11,8281;25;32,89787;0,08967964;-0,06426618;-0,01825777;-0,05982433;0,1127588
17;easyWire;1;1;11,85409;25;32,89787;0,2548863;-0,1681636;0,008495322;-0,1913527;0,112649
17;easyWire;1;1;11,86914;25;32,89787;0,04408788;-0,0404351;-0,005026822;0,0168367;0,1132153
17;easyWire;1;1;11,89579;25;32,89787;0,1727434;-0,1079275;0,1048093;-0,0848936;0,1144479
17;easyWire;1;1;11,91073;25;32,89787;0,07822892;-0,06684186;0,03805449;-0,01427531;0,114201
17;easyWire;1;1;11,92596;25;32,89787;0,053902;-0,0519054;-0,004466623;-0,01383126;0,1139642
17;easyWire;1;1;11,95151;25;32,89787;0,07172246;-0,04943665;0,03327131;0,03991425;0,1131949
17;easyWire;1;1;11,96658;25;32,89787;0,0695501;-0,008064508;0,0225585;0,06529391;0,1113751
