ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
6;torus;0;1;29,16783;26;18,69699;0,2109014;0,06198883;0,1874618;-0,07412732;0,7730418
6;torus;0;1;29,18166;26;18,69699;0,3129282;0,098598;0,2716139;-0,1201183;0,7698883
6;torus;0;1;29,19589;26;18,69699;0,3129282;0,098598;0,2716139;-0,1201183;0,7698883
6;torus;0;1;29,20958;26;18,69699;0,7340076;0,1618266;0,696119;-0,1673251;0,7645668
6;torus;0;1;29,22356;26;18,69699;0,3171597;0,1094341;0,2593346;-0,1461506;0,761095
6;torus;0;1;29,23736;26;18,69699;0,3171597;0,1094341;0,2593346;-0,1461506;0,761095
6;torus;0;1;29,25123;26;18,69699;0,322882;0,09815097;0,2747312;-0,1383543;0,7577455
6;torus;0;1;29,4195;26;18,69699;0;0;0;0;0,748328
6;torus;0;1;29,43182;26;18,69699;0,08742096;0,009912252;0,08515716;-0,01710057;0,7477856
6;torus;0;1;29,44593;26;18,69699;0,06184099;-0,0007212162;0,06176084;0,003063679;0,7476818
6;torus;0;1;29,45985;26;18,69699;0,06184099;-0,0007212162;0,06176084;0,003063679;0,7476818
6;torus;0;1;29,47353;26;18,69699;0,1957425;0,006717443;0,1956157;-0,002121925;0,7471532
6;torus;0;1;29,48746;26;18,69699;0,08758963;-0,008004904;0,08540899;0,01769662;0,7472717
6;torus;0;1;29,50146;26;18,69699;0,07398788;-0,0214994;0,06005317;0,03749132;0,7478167
6;torus;0;1;29,5157;26;18,69699;0,07398788;-0,0214994;0,06005317;0,03749132;0,7478167
6;torus;0;1;29,52949;26;18,69699;0,07350931;0,001084805;0,07342547;-0,00333786;0,7475761
6;torus;0;1;29,54318;26;18,69699;0,06755201;0,02554059;0,04094914;-0,04726648;0,746602
6;torus;0;1;29,55726;26;18,69699;0,06755201;0,02554059;0,04094914;-0,04726648;0,746602
6;torus;0;1;29,57127;26;18,69699;0,1094676;0,0492394;0,02866387;-0,093472;0,7447995
6;torus;0;1;29,58518;26;18,69699;0,03766765;0,01669526;0,003408641;-0,03359318;0,7441662
6;torus;0;1;29,59924;26;18,69699;0,03766765;0,01669526;0,003408641;-0,03359318;0,7441662
6;torus;0;1;29,61361;26;18,69699;0,06164361;0,02372265;0,001037866;-0,05688667;0,7430952
6;torus;0;1;29,62687;26;18,69699;0,04013156;0,01162291;-0,0138253;-0,03583729;0,7424476
6;torus;0;1;29,64089;26;18,69699;0,0314404;0,00846982;0,01542196;-0,02605617;0,7419163
6;torus;0;1;29,6551;26;18,69699;0,0314404;0,00846982;0,01542196;-0,02605617;0,7419163
6;torus;0;1;29,66883;26;18,69699;0,1845562;0,03833771;0,1533553;-0,09525418;0,7397674
6;torus;0;1;29,68271;26;18,69699;0,2086411;0,05034208;0,1812413;-0,09026825;0,7376955
6;torus;0;1;29,69659;26;18,69699;0,2086411;0,05034208;0,1812413;-0,09026825;0,7376955
6;torus;0;1;29,7106;26;18,69699;0,1254134;0,01063347;0,1169927;-0,04391074;0,7365994
6;torus;0;1;29,72433;26;18,69699;0,1382305;0,01706481;0,1310512;-0,04052222;0,735563
6;torus;0;1;29,73837;26;18,69699;0,1382305;0,01706481;0,1310512;-0,04052222;0,735563
6;torus;0;1;29,75258;26;18,69699;0,4979775;0,1869738;0,3055431;-0,3459275;0,7285747
6;torus;0;1;29,7663;26;18,69699;0,1751226;0,0783205;0,05827732;-0,1453876;0,7257898
6;torus;0;1;29,78014;26;18,69699;0,1748319;0,07836223;0,05754456;-0,1453072;0,7230142
6;torus;0;1;29,79407;26;18,69699;0,1748319;0,07836223;0,05754456;-0,1453072;0,7230142
6;torus;0;1;29,80834;26;18,69699;0,3591399;0,1618624;0,1152191;-0,2991766;0,7173266
6;torus;0;1;29,82189;26;18,69699;0,0225244;0,001144409;0,02064742;-0,008928776;0,7171159
6;torus;0;1;29,83585;26;18,69699;0,0225244;0,001144409;0,02064742;-0,008928776;0,7171159
6;torus;0;1;29,84989;26;18,69699;0,1446282;-0,07790327;-0,0482671;0,1118869;0,7192025
6;torus;0;1;29,86391;26;18,69699;0,04715702;-0,03252625;0,002811104;0,03402829;0,7197826
6;torus;0;1;29,87784;26;18,69699;0,04715702;-0,03252625;0,002811104;0,03402829;0,7197826
6;torus;0;1;29,89164;26;18,69699;0,1701355;-0,02676249;0,1672409;0,01613498;0,7197312
6;torus;0;1;29,90562;26;18,69699;0,0438464;-0,001108646;0,04284382;-0,009256601;0,7194712
6;torus;0;1;29,9196;26;18,69699;0,0438464;-0,001108646;0,04284382;-0,009256601;0,7194712
6;torus;0;1;29,93336;26;18,69699;0,2233939;0,03335476;0,206881;-0,07741153;0,7176856
6;torus;0;1;29,94739;26;18,69699;0,1320868;-0,005173683;0,1319852;0,0002413988;0,717469
6;torus;0;1;29,96109;26;18,69699;0,1114622;-0,02781749;0,1023464;0,03428161;0,7179187
6;torus;0;1;29,97503;26;18,69699;0,1114622;-0,02781749;0,1023464;0,03428161;0,7179187
6;torus;0;1;29,98897;26;18,69699;0,2975088;0,007271767;0,2951708;-0,03650784;0,7168034
